epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,18766.3,0.43927,0.24265,0.95707,0.99828,0.99894,0.99459,0.97023,0.30763,0.13018,0.8789,0.00657963,0.00657963,0.00657963
74,19021.4,0.43639,0.24078,0.95665,0.99842,0.99907,0.99472,0.96945,0.30723,0.1288,0.87903,0.00649724,0.00649724,0.00649724
75,19277.1,0.43838,0.242,0.95929,0.99896,0.99834,0.99475,0.96937,0.3065,0.12838,0.87878,0.0064144,0.0064144,0.0064144
76,19532.2,0.43181,0.23558,0.95423,0.99898,0.99834,0.99471,0.96919,0.30662,0.12897,0.87811,0.00633115,0.00633115,0.00633115
77,19788.9,0.43025,0.23394,0.95508,0.99899,0.99834,0.99469,0.96887,0.30503,0.12665,0.87713,0.00624751,0.00624751,0.00624751
78,20045.5,0.43231,0.23445,0.95564,0.99898,0.99834,0.99454,0.96818,0.30333,0.12646,0.87569,0.00616351,0.00616351,0.00616351
79,20302.8,0.43039,0.23464,0.95513,0.99856,0.99911,0.99471,0.96985,0.30268,0.12664,0.87554,0.00607916,0.00607916,0.00607916
80,20558.6,0.42821,0.23066,0.95345,0.99912,0.99965,0.99469,0.97104,0.30235,0.12575,0.87496,0.0059945,0.0059945,0.0059945
81,20814.9,0.42742,0.23,0.95222,0.99911,0.99951,0.99453,0.96904,0.30215,0.12512,0.87466,0.00590956,0.00590956,0.00590956
82,21070.2,0.4254,0.22932,0.95345,0.99911,0.99952,0.99468,0.96998,0.30231,0.12422,0.87461,0.00582435,0.00582435,0.00582435
83,21326.7,0.42939,0.23217,0.95318,0.99911,0.99962,0.99473,0.97124,0.30243,0.12452,0.87459,0.00573891,0.00573891,0.00573891
84,21582.6,0.42798,0.22925,0.95148,0.99912,0.99963,0.99469,0.97089,0.30172,0.12411,0.87441,0.00565325,0.00565325,0.00565325
85,21838.4,0.42104,0.22522,0.9492,0.99875,0.99913,0.9946,0.97137,0.3012,0.12376,0.87413,0.00556742,0.00556742,0.00556742
86,22095.1,0.42271,0.22663,0.94975,0.99868,0.99911,0.99459,0.97046,0.30075,0.12349,0.87352,0.00548142,0.00548142,0.00548142
87,22351.1,0.41918,0.22547,0.94777,0.99869,0.99911,0.99465,0.97116,0.29995,0.12408,0.87324,0.00539529,0.00539529,0.00539529
88,22606.7,0.41951,0.22695,0.95045,0.99881,0.99914,0.99467,0.97146,0.29913,0.12331,0.87258,0.00530906,0.00530906,0.00530906
89,22862.1,0.41932,0.22535,0.94863,0.99878,0.99913,0.9947,0.97191,0.29904,0.12249,0.87255,0.00522275,0.00522275,0.00522275
90,23118.5,0.41313,0.22235,0.94574,0.99876,0.99913,0.99465,0.97131,0.29842,0.122,0.8724,0.00513639,0.00513639,0.00513639
91,23374.9,0.41419,0.22087,0.94571,0.99873,0.99912,0.99466,0.97121,0.29809,0.12293,0.8725,0.00505,0.00505,0.00505
92,23630.5,0.41511,0.22099,0.9481,0.99875,0.99912,0.99469,0.97237,0.29771,0.12194,0.87238,0.00496361,0.00496361,0.00496361
93,23887,0.41362,0.22211,0.94575,0.99879,0.99914,0.99474,0.97228,0.29746,0.12205,0.87249,0.00487725,0.00487725,0.00487725
94,24143,0.40992,0.21904,0.94215,0.99878,0.99914,0.99477,0.97262,0.29731,0.12224,0.87252,0.00479094,0.00479094,0.00479094
95,24400.2,0.40983,0.22312,0.94483,0.99881,0.99916,0.99478,0.97215,0.29689,0.12218,0.87228,0.00470471,0.00470471,0.00470471
96,24657.5,0.41394,0.22108,0.94459,0.99883,0.99917,0.99479,0.97224,0.29675,0.12076,0.87198,0.00461858,0.00461858,0.00461858
97,24915.7,0.41043,0.21969,0.94429,0.99884,0.99917,0.9948,0.97283,0.2967,0.12019,0.87175,0.00453258,0.00453258,0.00453258
98,25172.4,0.40774,0.2161,0.94304,0.99885,0.99917,0.99473,0.97238,0.29642,0.12008,0.8715,0.00444675,0.00444675,0.00444675
99,25429.4,0.40398,0.21497,0.94155,0.99887,0.99917,0.99477,0.97198,0.29616,0.11952,0.87129,0.00436109,0.00436109,0.00436109
100,25686.4,0.39982,0.21404,0.94217,0.99887,0.99917,0.99479,0.97242,0.2958,0.11933,0.87092,0.00427565,0.00427565,0.00427565
101,25942.3,0.39923,0.21415,0.94036,0.99886,0.99917,0.99479,0.97321,0.29543,0.11953,0.87061,0.00419044,0.00419044,0.00419044
102,26198.6,0.39925,0.21229,0.93948,0.99883,0.99917,0.99479,0.97307,0.29531,0.11988,0.87049,0.0041055,0.0041055,0.0041055
103,26455.4,0.39583,0.21111,0.9395,0.99877,0.99913,0.9948,0.97271,0.2949,0.11881,0.87011,0.00402084,0.00402084,0.00402084
104,26711.9,0.39743,0.20824,0.9387,0.9987,0.99911,0.99479,0.97258,0.29448,0.11849,0.86978,0.00393649,0.00393649,0.00393649
105,26969.1,0.39358,0.20713,0.9364,0.99882,0.99916,0.9948,0.97273,0.2945,0.11826,0.86991,0.00385249,0.00385249,0.00385249
106,27227,0.39364,0.20807,0.93771,0.99876,0.99913,0.99482,0.97291,0.29421,0.11824,0.86969,0.00376885,0.00376885,0.00376885
107,27484.7,0.39616,0.20844,0.93847,0.99875,0.99913,0.99481,0.97314,0.29393,0.1182,0.86943,0.0036856,0.0036856,0.0036856
108,27739.7,0.38733,0.20564,0.93175,0.99875,0.99913,0.99481,0.97368,0.2937,0.11824,0.8692,0.00360276,0.00360276,0.00360276
109,27995.2,0.38849,0.20654,0.93562,0.99879,0.99917,0.99482,0.97325,0.29351,0.11812,0.86898,0.00352037,0.00352037,0.00352037
110,28250.9,0.38723,0.20758,0.93596,0.9988,0.99917,0.99481,0.97304,0.29303,0.11771,0.86869,0.00343844,0.00343844,0.00343844
111,28506.7,0.38787,0.20466,0.93624,0.99881,0.99917,0.99479,0.97289,0.29285,0.11755,0.86859,0.003357,0.003357,0.003357
112,28763.2,0.3842,0.20208,0.93569,0.99883,0.99917,0.99474,0.97334,0.29252,0.11775,0.86816,0.00327608,0.00327608,0.00327608
